MC_ID	S_ID	 ART	Response time 	WQT	CD	QL	CR
MC_1	S_25	46.8456221	5.6325142	5.6295224	41.2160997	0	59.18
MC_1	S_28	47.6378616	5.3437721	5.3427663	42.2950953	1	60.66
MC_1	S_35	92.6997188	49.4808792	49.4808792	43.2188396	1	62.14
MC_1	S_7	54.6173796	11.3721671	11.3711741	43.2462055	0	62.14
MC_1	S_14	51.7575974	6.6083679	6.6073603	45.1502371	1	65.1
MC_1	S_5	58.2541977	12.0079248	12.0079248	46.2462729	1	66.58
MC_1	S_36	91.4277625	45.1300497	45.1300497	46.2977128	1	66.58
MC_1	S_31	95.4586636	48.1674329	48.1664286	47.292235	2	68.06
MC_1	S_37	94.419423	46.1558431	46.1538418	48.2655812	3	69.54
MC_1	S_3	112.9433481	63.6311211	63.630124	49.3132241	4	71.02
MC_1	S_48	145.9552779	96.5989919	96.5980289	49.357249	4	71
MC_1	S_11	169.551242	119.3187064	119.3187064	50.2325356	3	72.5
MC_1	S_26	215.9529279	164.6520452	164.6520452	51.3008827	5	73.96
MC_1	S_10	232.4692192	180.1285892	180.1275908	52.3416284	5	75.46
MC_1	S_46	273.2719047	221.0378633	221.0378633	52.2340414	5	73.94
MC_1	S_16	195.1418332	141.8270191	141.8270191	53.3148141	5	76.94
MC_1	S_34	246.0708057	191.7304978	191.7294924	54.3413133	7	78.42
MC_1	S_44	299.6205867	245.3400976	245.3400121	54.2805746	7	78.42
MC_1	S_47	309.9123839	254.6778401	254.6768005	55.2355834	7	79.9
MC_1	S_45	324.116828	267.8539858	267.8539858	56.2628422	6	81.38
MC_1	S_39	340.6747227	283.3015476	283.300551	57.3741717	6	82.84
MC_1	S_18	364.7694888	306.4710441	306.4700399	58.2994489	10	84.34
MC_1	S_24	424.3550953	365.0773082	365.075306	59.2797893	12	85.82
MC_1	S_43	479.9925513	420.6673901	420.6672989	59.3252524	14	85.82
MC_1	S_2	463.1620747	401.8535902	401.8535902	61.3084845	20	88.76
MC_1	S_15	472.4085676	410.9918958	410.9909351	61.4176325	20	88.78
MC_1	S_6	443.9822435	381.6864237	381.6863418	62.2959017	23	90.24
MC_1	S_40	445.8891602	382.5618804	382.5618804	63.3272798	22	91.74
MC_1	S_49	511.1102098	446.7207743	446.7207743	64.3894355	21	93.22
MC_1	S_50	582.3263434	517.0001126	517.0000283	65.3263151	20	94.7
MC_1	S_13	621.2476765	554.9040357	554.9040357	66.3436408	19	96.18
MC_1	S_38	683.0212051	615.720556	615.7195438	67.3016613	18	97.66
MC_1	S_8	720.3522131	653.0104084	653.0094043	67.3428088	17	97.68
MC_1	S_20	786.4121615	719.1653847	719.1653035	67.246858	16	97.68
MC_1	S_21	855.3320605	788.1759261	788.1759261	67.1561344	15	97.66
MC_1	S_19	879.8715434	812.6104885	812.6104087	67.2601299	14	97.68
MC_1	S_22	948.3267255	881.0177249	881.0167118	67.3100137	13	97.68
MC_1	S_41	1012.323211	945.010039	945.0099438	67.3132672	12	97.68
MC_1	S_4	1053.7270603	986.3240623	986.3230585	67.4040018	11	97.68
MC_1	S_12	1124.032525	1056.6946538	1056.6946538	67.3378712	10	97.68
MC_1	S_27	1188.4267283	1121.0675958	1121.066193	67.3605353	9	97.68
MC_1	S_29	1261.3721684	1194.00539	1194.0043843	67.3677841	8	97.68
MC_1	S_30	1334.8745903	1267.4728589	1267.4718582	67.4027321	7	97.68
MC_1	S_32	1404.7516033	1337.360282	1337.3592732	67.3923301	6	97.68
MC_1	S_9	1435.7686443	1368.3494101	1368.3484041	67.4202402	5	97.68
MC_1	S_1	1459.4954161	1392.1411872	1392.1411872	67.3542289	4	97.68
MC_1	S_17	1476.7828173	1409.4748398	1409.4747499	67.3080674	4	97.68
MC_1	S_23	1547.2940935	1479.9512833	1479.9503219	67.3437716	4	97.68
MC_1	S_33	1614.8687606	1547.452912	1547.4519073	67.4168533	4	97.68
MC_1	S_42	1682.3540025	1615.0273883	1615.0263829	67.3276196	3	97.68
MC_1	S_25	333.9184383	288.5903844	288.5893788	45.3290595	3	65.1
MC_1	S_28	257.8817611	212.650405	212.6494451	45.232316	2	65.1
MC_1	S_35	227.8202784	183.5128586	183.5128586	44.3074198	1	63.62
MC_1	S_7	191.8320511	146.6148272	146.6138222	45.2182289	0	65.1
MC_1	S_14	51.8548446	6.6028243	6.6028243	45.2520203	0	65.1
MC_1	S_5	51.8048628	5.5356333	5.5346546	46.2702082	1	66.58
MC_1	S_36	84.2682957	38.0451924	38.0451924	46.2231033	0	66.56
MC_1	S_31	51.8755929	4.6416009	4.6405566	47.2350363	0	68.06
MC_1	S_37	50.5207424	3.2741871	3.2731838	47.2475586	0	68.06
MC_1	S_3	52.3804867	4.1368695	4.1358647	48.244622	1	69.54
MC_1	S_48	83.6187992	35.2503906	35.2503906	48.3684086	0	69.54
MC_1	S_11	54.7794318	5.5765873	5.5765873	49.2028445	0	71.02
MC_1	S_26	50.9884107	1.8161592	1.8151536	49.1732571	0	71.02
MC_1	S_46	54.1300784	4.9267388	4.9267388	49.2033396	0	71.02
MC_1	S_10	54.904728	5.6592256	5.6582197	49.2465083	0	71.02
MC_1	S_16	57.1578976	5.8895804	5.8885565	51.2693411	0	73.98
MC_1	S_34	55.8821688	4.589317	4.589317	51.2928518	1	73.98
MC_1	S_44	106.8681338	54.5746806	54.5746806	52.2934532	0	75.46
MC_1	S_47	59.25534	6.957832	6.957832	52.297508	0	75.46
MC_1	S_45	59.7719899	6.4884863	6.4874809	53.284509	0	76.94
MC_1	S_39	60.1849824	6.9754231	6.9754231	53.2095593	0	76.92
MC_1	S_18	59.7713553	5.4760318	5.4750689	54.2962864	0	78.42
MC_1	S_24	57.6081826	3.2815491	3.2805413	54.3276413	1	78.42
MC_1	S_43	109.7701225	54.3984087	54.3984087	55.3717138	0	79.9
MC_1	S_2	58.5199574	3.2287947	3.2277673	55.2921901	1	79.9
MC_1	S_15	62.1711851	5.8751082	5.8741047	56.2970804	0	81.38
MC_1	S_6	62.4754641	5.1825782	5.1824945	57.2929696	0	82.86
MC_1	S_40	63.8054331	5.5218398	5.5218398	58.2835933	0	84.34
MC_1	S_49	63.595735	5.2570784	5.2560825	58.3396525	0	84.34
MC_1	S_50	64.7826847	6.4674977	6.4674977	58.315187	0	84.34
MC_1	S_13	63.3449686	4.0948329	4.0937962	59.2511724	0	85.82
MC_1	S_38	66.551001	7.2233811	7.2224209	59.3285801	1	85.82
MC_1	S_25	69.5906798	27.4338443	27.4338443	42.1568355	1	60.66
MC_1	S_8	90.3849343	30.0551625	30.0541576	60.3307767	3	87.28
MC_1	S_20	81.9774406	22.6527921	22.6526327	59.3248079	3	85.82
MC_1	S_28	117.8344747	74.6311047	74.6300989	43.2043758	2	62.14
MC_1	S_35	162.0453195	118.8304934	118.8304934	43.2148261	1	62.14
MC_1	S_21	173.5239085	112.1955487	112.1955487	61.3283598	2	88.78
MC_1	S_7	116.9272751	72.727029	72.7260309	44.2012442	2	63.62
MC_1	S_19	168.6886098	107.5010165	107.5010165	61.1875933	2	88.76
MC_1	S_22	162.5560898	101.352968	101.352968	61.2031218	1	88.76
MC_1	S_41	156.3476102	95.0048887	95.0048887	61.3427215	2	88.78
